Ship_Name;MMSI;Origin_Port;Destination_Port;Draught;Length;Width;Congestion;Wind;Visibility;Arrival_Time;Crew_ETA
MISTRAL             ;230925000;Rotterdam;Felixstowe;6.2;153.0;20.0;0.0;2.24;10000.0;2026-04-29 17:24:55.573170297;{'Day': 28, 'Hour': 17, 'Minute': 30, 'Month': 5}
ATLANTIC PERFORMER;244710207;Rotterdam;Antwerp;0.0;135.0;14.0;6.0;1.79;10000.0;2026-04-29 19:16:34.582530396;{'Day': 25, 'Hour': 23, 'Minute': 0, 'Month': 5}
MISTRAL             ;230925000;Felixstowe;Rotterdam;6.2;153.0;20.0;17.0;4.22;10000.0;2026-04-30 05:30:31.116255842;{'Day': 28, 'Hour': 17, 'Minute': 30, 'Month': 5}
SOMTRANS X;205369090;Antwerp;Rotterdam;0.1;135.0;15.0;16.0;4.22;10000.0;2026-04-30 07:57:07.249344982;{'Day': 3, 'Hour': 1, 'Minute': 0, 'Month': 11}
INDUS;205529590;Rotterdam;Antwerp;0.4;110.0;23.0;3.0;1.79;10000.0;2026-05-04 08:26:06.664301080;{'Day': 28, 'Hour': 14, 'Minute': 38, 'Month': 5}
HMM SOUTHAMPTON     ;440363000;Rotterdam;Hamburg;11.8;400.0;62.0;11.0;5.14;10000.0;2026-05-04 08:26:07.835324241;{'Day': 11, 'Hour': 11, 'Minute': 30, 'Month': 5}
MSC VITA            ;255806493;Bremerhaven;Antwerp;13.6;300.0;48.0;3.0;1.79;10000.0;2026-05-04 08:26:08.965205698;{'Day': 9, 'Hour': 7, 'Minute': 0, 'Month': 5}
SEATTLE BRIDGE      ;353903000;Hong;Singapore;14.1;293.0;40.0;185.0;4.12;10000.0;2026-05-04 08:26:09.740809771;{'Day': 28, 'Hour': 3, 'Minute': 0, 'Month': 5}
ACACIA SEAWAYS;277574000;Rotterdam;Felixstowe;6.5;210.0;26.0;0.0;2.24;10000.0;2026-05-04 08:26:13.257701907;{'Day': 28, 'Hour': 3, 'Minute': 0, 'Month': 5}
FIDELITAS;253242033;Antwerp;Rotterdam;1.4;125.0;12.0;15.0;4.22;10000.0;2026-05-04 08:26:15.306654168;{'Day': 23, 'Hour': 19, 'Minute': 37, 'Month': 5}
INSPIRATION;244822424;Antwerp;Rotterdam;3.0;125.0;15.0;15.0;4.22;10000.0;2026-05-04 08:26:17.115356150;{'Day': 26, 'Hour': 21, 'Minute': 35, 'Month': 5}
ANTIGUA;244830109;Antwerp;Rotterdam;2.6;85.0;10.0;15.0;4.22;10000.0;2026-05-04 08:26:18.834558988;{'Day': 27, 'Hour': 17, 'Minute': 39, 'Month': 5}
VINOTRA 10;244730150;Antwerp;Rotterdam;1.7;135.0;23.0;15.0;4.22;10000.0;2026-05-04 08:26:18.923353930;{'Day': 24, 'Hour': 4, 'Minute': 50, 'Month': 5}
SOMBRA;244010511;Antwerp;Rotterdam;3.2;111.0;12.0;15.0;4.22;10000.0;2026-05-04 08:26:21.299978059;{'Day': 19, 'Hour': 8, 'Minute': 19, 'Month': 5}
SUEZMAX;244660401;Antwerp;Rotterdam;3.4;135.0;12.0;15.0;4.22;10000.0;2026-05-04 08:26:27.513478929;{'Day': 6, 'Hour': 8, 'Minute': 4, 'Month': 5}
ZIM VIETNAM         ;636022113;Rotterdam;Le;11.3;304.0;40.0;1.0;;;2026-05-04 08:26:35.993120651;{'Day': 12, 'Hour': 14, 'Minute': 0, 'Month': 5}
VERTOM ISA          ;255915933;Rotterdam;Antwerp;4.2;88.0;14.0;3.0;1.79;10000.0;2026-05-04 08:26:40.831175061;{'Day': 29, 'Hour': 20, 'Minute': 0, 'Month': 4}
EXCELLO;266273000;Antwerp;Le;6.7;155.0;22.0;1.0;;;2026-05-04 08:26:50.368390875;{'Day': 6, 'Hour': 4, 'Minute': 0, 'Month': 5}
IDUNA;244670789;Antwerp;Rotterdam;3.0;135.0;15.0;15.0;4.22;10000.0;2026-05-04 08:26:51.078772994;{'Day': 22, 'Hour': 11, 'Minute': 9, 'Month': 10}
SOVEREIGN;244170263;Antwerp;Rotterdam;0.4;135.0;14.0;15.0;4.22;10000.0;2026-05-04 08:26:53.365633415;{'Day': 26, 'Hour': 20, 'Minute': 54, 'Month': 5}
STOLT ZULU          ;636015971;Le;Antwerp;10.4;159.0;25.0;3.0;1.79;10000.0;2026-05-04 08:27:02.792538246;{'Day': 1, 'Hour': 10, 'Minute': 0, 'Month': 5}
OTTO H              ;538006810;Rotterdam;Antwerp;8.2;169.0;26.0;3.0;1.79;10000.0;2026-05-04 08:27:06.014684045;{'Day': 1, 'Hour': 4, 'Minute': 0, 'Month': 5}
OTD ALPHA           ;244670734;Rotterdam;Antwerp;1.3;110.0;12.0;3.0;1.79;10000.0;2026-05-04 08:27:06.891351358;{'Day': 13, 'Hour': 4, 'Minute': 0, 'Month': 5}
